contam	ensembl_id	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
tRNA	tRNA2-SerTGA					1						2		1	1	1																1					2						3									
tRNA	tRNA23-CysGCA					1																																	4													
tRNA	tRNA37-ValAAC					4			1																								1	1						1					1							
tRNA	tRNA66-LeuCAA					1															1																		1						2							
tRNA	tRNA7-CysGCA					1					1																		1		1			1																		
tRNA	tRNA9-LysCTT					1		42	8		31				4	3					3						59		3	1		4	2		6		6		3	1				3	10	4	1					
tRNA	tRNA98-LeuAAG					1	1						1														1	12							1		2								1							2
misc_RNA	ENSG00000199400						1																					1																								
misc_RNA	ENSG00000200436						1								1																3		2				5															
misc_RNA	ENSG00000202273						1	1		2	1		1	1						1						1	1			1				1	1		2		1	1	1	2			1							
misc_RNA	ENSG00000202382						1													1	1															1																1
misc_RNA	ENSG00000202495						1		1		2			7					2				3			4				1		3	8	3			7				1	2	1	1	1	2				2		
misc_RNA	ENSG00000206846						20	75	3	21	3		1	1	244				28	2				118		327		45	31	1		19	161	1	2		1	56	127		10	12	7	10								31
misc_RNA	ENSG00000206850						1							1																																						
misc_RNA	ENSG00000207009						1					5	1				26			7														5								1		1								
misc_RNA	ENSG00000207484						11				7					31			118	1								1									1						3									
misc_RNA	ENSG00000212306						4					1	1																												20											
misc_RNA	ENSG00000222881						3	2			2		4													1	6			2	1	4		4																		
misc_RNA	ENSG00000238366						1																																													
misc_RNA	ENSG00000241333						2									1																																				
misc_RNA	ENSG00000241406						2									1																							1													
misc_RNA	ENSG00000241529						5						9			7	18	1								15										8	1	10	6	18												
misc_RNA	ENSG00000242216						1	2						1		2																		1					1		1								11			
misc_RNA	ENSG00000242315						1																																													
misc_RNA	ENSG00000252147						1			1																																										
misc_RNA	ENSG00000252919						1	4		2		1	1	5		3				5		1									1	1			3					1						9						
misc_RNA	ENSG00000276359						1																																													
piRNA	uc022bft.1						3	3		1	6				1											2						2		1	10	42	25	66	51	31			8	1	1	1	264	125	338	212	467	292
piRNA	uc032uaa.1						2																																													
rRNA	ENSG00000199609						14	7	1	5	3			1			1			1							1	1	2					1	9	2	3	2	8	2				4		2	5	1	1	1		5
rRNA	ENSG00000199620						3												1													1							1													
rRNA	ENSG00000199804						1													1															2					2												
rRNA	ENSG00000200058						1							3	1						2		2																	1	1											
rRNA	ENSG00000200225						1			1								1		1													1				1										1					
rRNA	ENSG00000200336						3																															1														
rRNA	ENSG00000201923						1																										2																			
rRNA	ENSG00000212433						1							1	1																																			2		
rRNA	ENSG00000212571						2																																													
rRNA	ENSG00000238379						3																1			1																1										
rRNA	ENSG00000252289						1							5	2						1		76																1							4					32	1
snoRNA	ENSG00000201240						4																																													
snoRNA	ENSG00000206948						2		2			3	1	12	3	6															2			1				2		1	1		3	4		1						
snoRNA	ENSG00000207468						2													2																																
snoRNA	ENSG00000212607						1																														1															
snoRNA	ENSG00000221420						2	1	2	2																				2				3										2	2							
snRNA	ENSG00000199394						2		1																																											
snRNA	ENSG00000201184						1																																													
snRNA	ENSG00000201341						2																																													
snRNA	ENSG00000201654						2																								1																					
snRNA	ENSG00000201954						1																																													
snRNA	ENSG00000202029						1																																													
snRNA	ENSG00000202528						7																																													
snRNA	ENSG00000206752						2																																													
snRNA	ENSG00000207029						3																																													
snRNA	ENSG00000207513						1						3			1	2					2		1														4			1						1	1				
snRNA	ENSG00000223306						1																																													
snRNA	ENSG00000252468						3						10					4																1				1	1													
snRNA	ENSG00000252594						1																																													
snRNA	ENSG00000253099						1																																													
snRNA	ENSG00000273768						1						1																					2																		
tRNA	tRNA14-ThrCGT						1					1	1	1					1	1								1				2			2	1					8			1		1					1	
tRNA	tRNA147-SerAGA						1	1				4				2											1								3	2	1						5								1	
tRNA	tRNA16-ValTAC						1				2	4				4													3											1												
tRNA	tRNA38-LeuCAG						21													13															2						21											
tRNA	tRNA4-ArgTCG						1	4	3	1	2			3	3	1										1						4	1				5			1	4		2	1								
tRNA	tRNA4-GlyCCC						1																																			1										
tRNA	tRNA41-SerCGA						1													1																																
tRNA	tRNA51-SerTGA						1								2																																					
tRNA	tRNA7-LysTTT						1																								1																					
tRNA	tRNA76-GlyTCC						3															1				3								1																		
tRNA	tRNA8-SerGCT						1		4			1	2			1	5																																			
tRNA	tRNA82-GlyTCC						1																																													
misc_RNA	ENSG00000199290							1																																												
misc_RNA	ENSG00000199901							1																																												
misc_RNA	ENSG00000200737							1																													1															
misc_RNA	ENSG00000200750							1																																												
misc_RNA	ENSG00000201178							1																						2										1												
misc_RNA	ENSG00000201216							1			1			1																																						
misc_RNA	ENSG00000201566							1							1							1		1			1																									1
misc_RNA	ENSG00000202021							1																																									1			1
misc_RNA	ENSG00000202035							1																		1												1						1								
misc_RNA	ENSG00000202536							3		1				1																							5	1	3													
misc_RNA	ENSG00000206840							10						2	7							4							3		2						4															
misc_RNA	ENSG00000206854							1																				1	1											2				1		1				1		
misc_RNA	ENSG00000207039							2						4																								2														
misc_RNA	ENSG00000207123							3		1			1	1	1	1		1		2	1					3	3									1		2	1			1	1			1						1
misc_RNA	ENSG00000207525							1																																												
misc_RNA	ENSG00000241159							1																																												
misc_RNA	ENSG00000241625							1																																												
misc_RNA	ENSG00000243352							1																											2		4	12	6	2												
misc_RNA	ENSG00000243562							7																											5	4	1	5	4													
misc_RNA	ENSG00000244003							1																											1			2		1												
misc_RNA	ENSG00000244112							2																																1												
misc_RNA	ENSG00000252660							1		1					1							1						1																								
misc_RNA	ENSG00000265078							1	2	1		1		2	3	2				1		1					1						1						4									1				
misc_RNA	ENSG00000265486							1													1																															1
misc_RNA	ENSG00000266828							1																																												
misc_RNA	ENSG00000274603							30																								13			5																	
misc_RNA	ENSG00000274852							1																																												
misc_RNA	ENSG00000275090							3	5	1	1			4	1	13														2							1				2											
misc_RNA	ENSG00000275904							1																																												
piRNA	uc001gfk.2							1																							3																					
piRNA	uc002gyc.3							1																																												
piRNA	uc002zpj.2							1							1																																1					
piRNA	uc003oim.3							1																																												
rRNA	ENSG00000199455							2	1					13		1																			2	2	1	4	42	3					1	1		1	1	51	1	1
rRNA	ENSG00000200516							1																																												
rRNA	ENSG00000200601							2																				1												3				2								
rRNA	ENSG00000201168							2	1	1	1			4								1	1			1	3								3			2	12				2			2	1			3		1
rRNA	ENSG00000202290							1																											2			1														
rRNA	ENSG00000202411							3						2	4	1					12						1								1	8	8	31	9		1											
rRNA	ENSG00000222308							1																																												
rRNA	ENSG00000251698							1																																												
rRNA	ENSG00000251766							1																																												
rRNA	ENSG00000252179							1							1					2				2		1											2							1	2							
rRNA	ENSG00000252623							56	1																	1		1						2		1	6	6	3	8						2	1					
rRNA	ENSG00000277049							1	2		1				1					1		1	3											2	1				4							5				5	1	2
snoRNA	ENSG00000199574							4																																												
snoRNA	ENSG00000200084							2	2		2		1	1	1												2		1							3		2						1								
snoRNA	ENSG00000207496							1								1																								1	4											
snoRNA	ENSG00000212135							3							1																	3							1							3						
snoRNA	ENSG00000212452							1				1	1							3												1		1				2								3						
snoRNA	ENSG00000221116							2			1				3	2				3																		2		3												
snoRNA	ENSG00000221241							5																																												
snoRNA	ENSG00000272296							1								1																						1		1												
snRNA	ENSG00000207175							1																																												
snRNA	ENSG00000207201							1		1																																										
snRNA	ENSG00000238825							1																			1																									
tRNA	tRNA10-IleTAT							1			1			2		1										1																										
tRNA	tRNA117-GlyTCC							4																																			5									
tRNA	tRNA12-PseudoTTT							1																																	1											
tRNA	tRNA142-MetCAT							3	1	2				4						7							27							2			8				2		1		1	1						
tRNA	tRNA21-ArgCCT							1		2	2		1	1	1	2						2	37			1															1		1			5						
tRNA	tRNA3-LeuAAG							1																											1																	
tRNA	tRNA31-AsnGTT							1																																												
tRNA	tRNA4-LeuTAA							1																																												
tRNA	tRNA50-SerAGA							1						1	1																		1																			
tRNA	tRNA69-AspGTC							1	12	1	1	1	2	2	1	2		14				1										1				6				6					1	2						
tRNA	tRNA70-GlyTCC							1	1							1																												3								
tRNA	tRNA74-LeuCAA							1		2				1	1							5									2						4					1							19			
tRNA	tRNA99-ValCAC							1																																												
misc_RNA	ENSG00000200783								1																																											
misc_RNA	ENSG00000201118								1																																						1					
misc_RNA	ENSG00000201121								2					1	2														1			2									3											
misc_RNA	ENSG00000201134								1				1																																							
misc_RNA	ENSG00000201489								1																																											
misc_RNA	ENSG00000202357								3					4							13												1					4	2		1	1										
misc_RNA	ENSG00000222224								2																																1											
misc_RNA	ENSG00000240233								1																																											
misc_RNA	ENSG00000242559								2							1																			1		1	1		3												
misc_RNA	ENSG00000244218								1																																											
misc_RNA	ENSG00000263988								3	1	3	2	1			1	1		1			1							1			1											3	2								
misc_RNA	ENSG00000264767								1																																											4
misc_RNA	ENSG00000276281								1																														1													
piRNA	uc032nxt.1								1																																											
piRNA	uc032ptp.1								1	1				2							1										4							4					2				3	13				1
rRNA	ENSG00000201856								1																																											
rRNA	ENSG00000202147								1																																											
rRNA	ENSG00000212171								2															1											1			1					1									
rRNA	ENSG00000251890								1	1																																										
snoRNA	ENSG00000206597								1																																			2								
snoRNA	ENSG00000212158								1						1															1																						
snoRNA	ENSG00000275996								1																																											
snoRNA	ENSG00000277846								1			2	1																											1				3		2						
snRNA	ENSG00000199248								1																																											
snRNA	ENSG00000200403								2																						2																					
snRNA	ENSG00000201223								1																																											
snRNA	ENSG00000201852								1																																											
snRNA	ENSG00000202304								1																																											
snRNA	ENSG00000206585								1						1						2						13								2				1													
snRNA	ENSG00000206588								1		2								1		1										1								3													
snRNA	ENSG00000206631								6			1																																								
snRNA	ENSG00000206652								2	1						2				13	1										1	1														3						
snRNA	ENSG00000206875								1																																											
snRNA	ENSG00000207041								1					3	1																																					
snRNA	ENSG00000207310								1																																											
snRNA	ENSG00000207321								4																																											
snRNA	ENSG00000207389								2											2																																
snRNA	ENSG00000207394								1																																											
snRNA	ENSG00000222414								1																	27	1					2																				
snRNA	ENSG00000223313								1																																											
snRNA	ENSG00000238941								1																																											
snRNA	ENSG00000251955								1																																											
snRNA	ENSG00000252506								2																																											
tRNA	tRNA106-PheGAA								1																					1																						
tRNA	tRNA107-AlaTGC								1																																											
tRNA	tRNA15-GlnCTG								1	1			9		3		3							2			32			1	4			1						3								1				
tRNA	tRNA29-CysGCA								1																																											
tRNA	tRNA4-PseudoTAA								1	1						1						1	1					2					1		2			4	1					1			7	1	9	1	2	15
tRNA	tRNA4-ValTAC								1		4			1	4	1	1			1																															36	
tRNA	tRNA45-AspGTC								1		1											8										4					10									8						
tRNA	tRNA6-ArgACG								1																																											
tRNA	tRNA8-ThrAGT								1																																											
tRNA	tRNA96-PheGAA								4																														1													
misc_RNA	ENSG00000199245									2																														1				2								
misc_RNA	ENSG00000199840									1																																										
misc_RNA	ENSG00000199867									2																														2												
misc_RNA	ENSG00000200118									61		7		4	3	1					127									1				15				70		8												
misc_RNA	ENSG00000200488									1																																										
misc_RNA	ENSG00000200547									1																1		1						1	1			1									1					
misc_RNA	ENSG00000201031									1																		10						1					1							1						
misc_RNA	ENSG00000201282									1																																										
misc_RNA	ENSG00000201451									1				1											1			1	1					1																		
misc_RNA	ENSG00000202124									1						1																																				
misc_RNA	ENSG00000207426									1																																										
misc_RNA	ENSG00000222467									1	3	1										1											1	2						1												
misc_RNA	ENSG00000222931									1																																										
misc_RNA	ENSG00000223220									1						1								1													1							1								
misc_RNA	ENSG00000252217									1	1																																			1						
piRNA	uc001jzg.3									2																																										
piRNA	uc004cni.4									1																																										
piRNA	uc021zbu.1									1					1																				1																	
piRNA	uc032cnf.1									2																																										
piRNA	uc032exi.1									2				3	2																1				3				3								27		1		5	
piRNA	uc032ous.1									2				1		1													1	1								1	1	1							3			22	46	23
rRNA	ENSG00000200650									1		1		2						1			8	1				1			1					2	2	1		1												
rRNA	ENSG00000200711									1																																									17	
rRNA	ENSG00000201763									3	1															3	1				1					10	1	4		1					1	3						
rRNA	ENSG00000252301									6																										3			1												1	
snoRNA	ENSG00000201302									1				2	1																															3						
snoRNA	ENSG00000206620									1												1						6																								
snoRNA	ENSG00000206897									1																																										
snoRNA	ENSG00000207297									1																																			5							
snoRNA	ENSG00000261709									1																																										
snoRNA	ENSG00000274582									1																																										
snoRNA	ENSG00000277887									3									2		5										1													1	1							
snRNA	ENSG00000206737									1																										1									2							
snRNA	ENSG00000206864									1																																										
snRNA	ENSG00000206900									1																																										
snRNA	ENSG00000223062									1																																										
snRNA	ENSG00000251865									1																																										
tRNA	tRNA114-ArgCCG									3	2				1				1	1	3										1				7	2					7			2								
tRNA	tRNA13-GlyCCC									1																											1							2								
tRNA	tRNA2-SerCGA									2						2																	1																			
tRNA	tRNA33-Pseudo									1		1																									1															
tRNA	tRNA35-SerAGA									1					1							1							1													1										
misc_RNA	ENSG00000199490										1																1																									
misc_RNA	ENSG00000200764										3		1								1									1							2															
misc_RNA	ENSG00000201990										1																									1		1	1													
misc_RNA	ENSG00000202515										1			4																							6								1							
misc_RNA	ENSG00000206734										1		2																																							
misc_RNA	ENSG00000206967										3	3		1																	1	1																1				
misc_RNA	ENSG00000207384										1																																									
misc_RNA	ENSG00000238443										3						2				4							1	1		2							1			3											
misc_RNA	ENSG00000264030										1																																									
misc_RNA	ENSG00000277634										1													1												2				1												
piRNA	uc010uss.3										1																																									
piRNA	uc022atk.1										1																																									
rRNA	ENSG00000202056										1																									1	4		1	2												1
rRNA	ENSG00000223169										1																																									
rRNA	ENSG00000252667										1																																									
rRNA	ENSG00000283568										2																																									
snoRNA	ENSG00000199856										1																																									
snoRNA	ENSG00000206941										2																														12											
snoRNA	ENSG00000207016										1			2																																						
snoRNA	ENSG00000276610										1			1																																						
snRNA	ENSG00000206596										3																							1					3	1						1						
snRNA	ENSG00000207005										1				1						1									3								4		1				1								
snRNA	ENSG00000207113										1																																									
snRNA	ENSG00000252850										3																																									
tRNA	tRNA101-AlaAGC										1	1			1				1																			1	1													
tRNA	tRNA102-AlaAGC										1			1																						3																
tRNA	tRNA11-PseudoTTG										1				1																							3	1													
tRNA	tRNA153-IleAAT										1																																									
tRNA	tRNA170-TrpCCA										5	1																														26										
tRNA	tRNA18-ArgCCT										1																										1															
tRNA	tRNA27-LeuTAG										1																				1																					
tRNA	tRNA4-TyrGTA										1																																									
tRNA	tRNA43-GlyGCC										1				2						1				2										1				1		1	1										
tRNA	tRNA78-LeuAAG										2				2																																					
tRNA	tRNA8-CysGCA										2																							2							13											
misc_RNA	ENSG00000206797											1		1		1	1				1								1	1										1				1								
misc_RNA	ENSG00000206814											3							2																									5	1	14						
misc_RNA	ENSG00000207342											1																																1								
misc_RNA	ENSG00000207395											1				4				18															4		7															
piRNA	uc031tas.1											1																																								
piRNA	uc032oue.1											1																																								
rRNA	ENSG00000199953											1														1									1																	
snoRNA	ENSG00000206989											1									4																															
snoRNA	ENSG00000207217											1																																								
snoRNA	ENSG00000208772											1	1			1						1														2																
snRNA	ENSG00000201744											2																1																								
snRNA	ENSG00000270722											1																									3				1			1								
tRNA	tRNA140-LeuCAA											1		1	1													2									11															
tRNA	tRNA19-TyrGTA											1				2				8	5			34	33	12						1					3					11										
tRNA	tRNA32-MetCAT											5															1										6							4								
tRNA	tRNA36-LeuCAG											27										1										1	4																			
tRNA	tRNA47-SerAGA											1														1											1	1	1													
tRNA	tRNA48-AspGTC											1	1		2	13										35					5			1																		
misc_RNA	ENSG00000200616												1									1																							1							
misc_RNA	ENSG00000202008												2					1		2																								1								
misc_RNA	ENSG00000202137												1																																							
misc_RNA	ENSG00000206651												1		1							6						8								6	10		4	4				1	1							
misc_RNA	ENSG00000206699												1																																							
misc_RNA	ENSG00000206822												1			1																																				
misc_RNA	ENSG00000207247												1																																							
misc_RNA	ENSG00000222701												2	1				1				1														1																
misc_RNA	ENSG00000242256												1																																							
misc_RNA	ENSG00000274984												1																																							
misc_RNA	ENSG00000276002												1																																							
rRNA	ENSG00000201145												2	1																					1																	9
snoRNA	ENSG00000206680												1																					2									11	9	3							
snoRNA	ENSG00000239169												1										1																													
snRNA	ENSG00000201104												2															25			2																					
snRNA	ENSG00000202538												1																1				2					4														
snRNA	ENSG00000222076												1																																							
tRNA	tRNA15-ThrCGT												1																											1												
tRNA	tRNA22-MetCAT												1			3												9	1						9					1				4		4				32		
tRNA	tRNA4-GlnTTG												1																																							
misc_RNA	ENSG00000200305													5														1											2													
misc_RNA	ENSG00000200742													1													1	14								1																
misc_RNA	ENSG00000201228													1								1				1									3	1		1			1											
misc_RNA	ENSG00000202399													1									1																													
misc_RNA	ENSG00000202533													3		1																				6			1	1			3									
misc_RNA	ENSG00000206779													1	1								1			1	1					1				1		1	1								4			1		
misc_RNA	ENSG00000206925													1			1												1	1																						
misc_RNA	ENSG00000207207													1		1																												2	5							
misc_RNA	ENSG00000207293													1	1					4																			1													
misc_RNA	ENSG00000207319													1																																						
misc_RNA	ENSG00000223060													1																													1									
misc_RNA	ENSG00000252891													1																							5															
misc_RNA	ENSG00000276178													2												2																		1								
piRNA	uc022bdg.1													1						2															1	1				2												
piRNA	uc032zlz.1													2		1					1											2			1	7	5	8	3	5							20	2		20	19	19
piRNA	uc033cul.1													1																																						
rRNA	ENSG00000202386													1																							3		2								1					
rRNA	ENSG00000207186													1			1																		3		1	2	1	2		1					1		1			
rRNA	ENSG00000212308													1		1		1			2	1					2											3	4	1												
rRNA	ENSG00000251770													5																																						
rRNA	ENSG00000252864													1																								1														
snoRNA	ENSG00000200367													3																															2							
snoRNA	ENSG00000206693													1																						1																
snoRNA	ENSG00000207174													1																																						
snoRNA	ENSG00000207405													1																																						
snoRNA	ENSG00000271798													1																	1																					
snoRNA	ENSG00000274640													2																																						
snoRNA	ENSG00000276314													5																																						
snRNA	ENSG00000199347													3										1							1																		1			
snRNA	ENSG00000206774													1																																						
snRNA	ENSG00000251870													2																																						
snRNA	ENSG00000274210													2																																						
tRNA	tRNA133-GlyCCC													1				1		2																								1								
tRNA	tRNA22-GlnCTG													2			2																																			
tRNA	tRNA30-LysCTT													5									7																													
tRNA	tRNA44-SerAGA													2																																1						
misc_RNA	ENSG00000199580														1	2																								3							1					
misc_RNA	ENSG00000199740														1																				2	1	1	1														
misc_RNA	ENSG00000201340														1			1										1										1														
misc_RNA	ENSG00000212335														3																																					
misc_RNA	ENSG00000243029														1		5																																			
piRNA	uc002bzp.4														1																																					
piRNA	uc032xgw.1														1																																					
piRNA	uc033bqz.1														1																																					
rRNA	ENSG00000199322														1																							1														
rRNA	ENSG00000201447														1																																					
rRNA	ENSG00000202054														1		1																					3	1	1				1						1		
rRNA	ENSG00000207277														2																																					
rRNA	ENSG00000222546														1																					1																
rRNA	ENSG00000252714														1																					1		18														
snoRNA	ENSG00000201675														1		6							2																							25					
snoRNA	ENSG00000238942														1																																					
snoRNA	ENSG00000239112														1																			1											2							
snoRNA	ENSG00000265145														1																																					
snRNA	ENSG00000206970														2																																					
tRNA	tRNA1-ArgCCG														1												1											2														
tRNA	tRNA13-CysGCA														1																																					
tRNA	tRNA22-CysGCA														1																																					
tRNA	tRNA36-ArgACG														1																					1					42											
tRNA	tRNA6-CysGCA														1																																					
misc_RNA	ENSG00000200164															1																																				
misc_RNA	ENSG00000200379															1																																				
misc_RNA	ENSG00000200629															1																																				
misc_RNA	ENSG00000200867															2																																				
misc_RNA	ENSG00000201217															1																																				
misc_RNA	ENSG00000201793															1																		1												1						
misc_RNA	ENSG00000240439															1																																			1	
misc_RNA	ENSG00000241032															1												1																								
piRNA	uc031xoa.1															1																							3											9		20
piRNA	uc032pcn.1															1																																				
rRNA	ENSG00000252745															2																																				
snoRNA	ENSG00000200394															1																								1												
snoRNA	ENSG00000278274															1																																				
snRNA	ENSG00000201825															1																																				
snRNA	ENSG00000222895															1																																				
snRNA	ENSG00000238923															1																		2		1				2												
tRNA	tRNA118-HisGTG															1																			1			2		2												
tRNA	tRNA156-ArgACG															1																					1				1						1					
tRNA	tRNA165-IleAAT															1																		1								1										
tRNA	tRNA19-LeuAAG															2																																				
tRNA	tRNA36-ThrAGT															1				4																																
tRNA	tRNA40-LeuCAG															1															1																					
tRNA	tRNA5-SerAGA															1																																				
tRNA	tRNA7-AsnGTT															1																																				
misc_RNA	ENSG00000202211																2																																			
misc_RNA	ENSG00000242614																1																																			
rRNA	ENSG00000202430																3																																			
rRNA	ENSG00000223138																1																			1	1		1				2						1			
snRNA	ENSG00000222810																1							5																												
misc_RNA	ENSG00000199591																		1					1																												
misc_RNA	ENSG00000265961																		1											1																						
rRNA	ENSG00000212176																		4																																	
snoRNA	ENSG00000201487																		4												2																					
snRNA	ENSG00000222355																		1																																	
misc_RNA	ENSG00000200011																			1								1																								
misc_RNA	ENSG00000201955																			1																		3	4	1				1					1			
misc_RNA	ENSG00000240347																			1																																
misc_RNA	ENSG00000244139																			1																																
misc_RNA	ENSG00000271986																			2															1			1														
piRNA	uc011cdr.2																			1															9	3	7		3	2							3		2	31	39	37
piRNA	uc032hlx.1																			10				1				12																								
snoRNA	ENSG00000221705																			1																																
snoRNA	ENSG00000254341																			2																																
snoRNA	ENSG00000281808																			2																					11											
snRNA	ENSG00000222726																			4		13					1					1				1											47					
tRNA	tRNA11-SerAGA																			5																3	1			1												
tRNA	tRNA4-ProAGG																			1													1												1				2			
tRNA	tRNA61-MetCAT																			11																		4														
rRNA	ENSG00000202248																				3															1			3													
rRNA	ENSG00000251990																				6																															
rRNA	ENSG00000252315																				2																															
snRNA	ENSG00000200903																				1																															
tRNA	tRNA67-AlaAGC																				1																															
misc_RNA	ENSG00000202141																					1																					1									
misc_RNA	ENSG00000206805																					1				1										1	1															
rRNA	ENSG00000201086																					1																														
snoRNA	ENSG00000200620																					1																														
snoRNA	ENSG00000206775																					5																														
snoRNA	ENSG00000235408																					1																														
snoRNA	ENSG00000277492																					1																														
snRNA	ENSG00000206702																					2																														
snRNA	ENSG00000264229																					1																														
tRNA	tRNA24-LysCTT																					1																														
tRNA	tRNA4-AsnGTT																					1																														
snRNA	ENSG00000207205																						1																													
snRNA	ENSG00000238959																						3																							1						1
tRNA	tRNA110-AlaTGC																						2																							2						
tRNA	tRNA39-TrpCCA																						1											2										1		1						
misc_RNA	ENSG00000201933																							1					2															1								
rRNA	ENSG00000202263																							1							1																					
snRNA	ENSG00000200204																							11																												
tRNA	tRNA17-SupTTA																							1																												
rRNA	ENSG00000201766																								1													2	1	2												
misc_RNA	ENSG00000252742																									7			1						2			4	2	2			8									
rRNA	ENSG00000200890																									22														1	2											19
rRNA	ENSG00000202324																									1					1							1		2		3	4									
snoRNA	ENSG00000200612																									35												1														
snoRNA	ENSG00000212163																									1																										
snRNA	ENSG00000200156																									1												2	8	2					1							
snRNA	ENSG00000207322																									1																										
misc_RNA	ENSG00000201663																										1																									
misc_RNA	ENSG00000206721																										1		1																							
misc_RNA	ENSG00000207379																										1																									
misc_RNA	ENSG00000240940																										1																									
misc_RNA	ENSG00000242865																										1																									
rRNA	ENSG00000252942																										2		1									1														
snoRNA	ENSG00000221643																										4																									
snRNA	ENSG00000206908																										1																									
tRNA	tRNA16-HisGTG																										24		1		1				1					1												
misc_RNA	ENSG00000206951																											2							1																	
tRNA	tRNA4-ThrTGT																											1																								
misc_RNA	ENSG00000200635																												1																							
misc_RNA	ENSG00000206808																												1																							
misc_RNA	ENSG00000240750																												1																							
snoRNA	ENSG00000201998																												3																							
snoRNA	ENSG00000252787																												2																							
snRNA	ENSG00000200176																												1																							
snRNA	ENSG00000207256																												1																							
snRNA	ENSG00000207459																												1																							
snRNA	ENSG00000238554																												1																							
tRNA	tRNA105-AlaAGC																												1																							
tRNA	tRNA16-LeuAAG																												1																							
tRNA	tRNA52-ArgTCT																												1								1															
tRNA	tRNA54-ThrCGT																												1																							
tRNA	tRNA162-MetCAT																													1																						
tRNA	tRNA167-ThrAGT																													2																						
tRNA	tRNA25-SeCTCA																													1																						
misc_RNA	ENSG00000201749																														7		5				6															
rRNA	ENSG00000199806																														1																					
snoRNA	ENSG00000206952																														2			1	1								1		1							
snoRNA	ENSG00000207187																														1																					
snoRNA	ENSG00000239039																														1																					
snRNA	ENSG00000202240																														2																					
tRNA	tRNA20-CysGCA																														1																					
misc_RNA	ENSG00000207092																															1																				
misc_RNA	ENSG00000207404																															2														2						
misc_RNA	ENSG00000252021																															2																				
misc_RNA	ENSG00000275307																															2																				
misc_RNA	ENSG00000277136																															2																				
piRNA	uc033buv.1																															1																				
rRNA	ENSG00000252653																															1																				
snoRNA	ENSG00000206979																															1																				
snoRNA	ENSG00000221491																															2																				
tRNA	tRNA131-GlyCCC																															1																				
tRNA	tRNA15-CysGCA																															2											9	2								
misc_RNA	ENSG00000201723																																1																		1	
misc_RNA	ENSG00000276047																																1						1													
rRNA	ENSG00000199535																																2																			4
tRNA	tRNA55-LysTTT																																1																			
tRNA	tRNA75-MetCAT																																1	1																		
misc_RNA	ENSG00000200243																																	1																		
misc_RNA	ENSG00000244091																																	1																		
misc_RNA	ENSG00000276696																																	1																		
piRNA	uc002byr.4																																	1																		
piRNA	uc021syw.1																																	1																		
snoRNA	ENSG00000200418																																	1																		
snoRNA	ENSG00000209482																																	1									1									
snoRNA	ENSG00000278261																																	2		2								1		1						
tRNA	tRNA14-TyrATA																																	1																		
tRNA	tRNA158-IleAAT																																	1							3											
misc_RNA	ENSG00000201343																																		1				1													
misc_RNA	ENSG00000207229																																		1																	
misc_RNA	ENSG00000244384																																		1																	
misc_RNA	ENSG00000252802																																		1																	
misc_RNA	ENSG00000264618																																		3		1		4	1												13
piRNA	uc021vnd.1																																		4	3	9	3	15	4							6	48	47	16	93	18
rRNA	ENSG00000199985																																		1																	
rRNA	ENSG00000201394																																		1																	
rRNA	ENSG00000201708																																		2			1									1			1		
rRNA	ENSG00000201966																																		1						2							1	1		4	
rRNA	ENSG00000206882																																		1																	
rRNA	ENSG00000212454																																		1																	
snoRNA	ENSG00000207313																																		1																	
snRNA	ENSG00000222440																																		12				3													
tRNA	tRNA164-MetCAT																																		1																	
misc_RNA	ENSG00000199938																																			1																
misc_RNA	ENSG00000200332																																			1									1							
misc_RNA	ENSG00000201724																																			1				1												
misc_RNA	ENSG00000207258																																			1																
misc_RNA	ENSG00000242894																																			3																
misc_RNA	ENSG00000275992																																			1																
rRNA	ENSG00000222427																																			7				1												
rRNA	ENSG00000222578																																			1																
snoRNA	ENSG00000209480																																			1	1															
tRNA	tRNA9-PseudoTAA																																			1					2				1							
misc_RNA	ENSG00000201314																																				1															
misc_RNA	ENSG00000201412																																				1															
misc_RNA	ENSG00000207235																																				1															
misc_RNA	ENSG00000239437																																				4															
misc_RNA	ENSG00000244671																																				1							1								
misc_RNA	ENSG00000263882																																				2															
misc_RNA	ENSG00000265388																																				4															
misc_RNA	ENSG00000278701																																				2															
piRNA	uc032dza.1																																				1			1									2			
rRNA	ENSG00000199202																																				1															
rRNA	ENSG00000200468																																				1						1									
rRNA	ENSG00000200626																																				2	1	1												1	
rRNA	ENSG00000252002																																				1															
snoRNA	ENSG00000207279																																				1															
snoRNA	ENSG00000280496																																				1															
tRNA	tRNA3-ArgTCT																																				3			5												
